Area_Name,Year,Group_Name,Sub_Group_Name,Trial_of_Violent_Crimes_by_Courts_By_Confession,Trial_of_Violent_Crimes_by_Courts_By_trial,Trial_of_Violent_Crimes_by_Courts_Total
Arunachal Pradesh,2001,TVC- Arson,10. Arson,0.0,3,3
Assam,2001,TVC- Arson,10. Arson,-1.0,142,147
Chandigarh,2001,TVC- Arson,10. Arson,0.0,3,3
Chhattisgarh,2001,TVC- Arson,10. Arson,22.0,41,63
Delhi,2001,TVC- Arson,10. Arson,18.0,75,93
Gujarat,2001,TVC- Arson,10. Arson,2.0,228,230
Haryana,2001,TVC- Arson,10. Arson,3.0,106,109
Jharkhand,2001,TVC- Arson,10. Arson,0.0,66,66
Karnataka,2001,TVC- Arson,10. Arson,0.0,181,181
Kerala,2001,TVC- Arson,10. Arson,2.0,92,94
Maharashtra,2001,TVC- Arson,10. Arson,4.0,666,670
Meghalaya,2001,TVC- Arson,10. Arson,0.0,8,8
Mizoram,2001,TVC- Arson,10. Arson,2.0,11,13
Nagaland,2001,TVC- Arson,10. Arson,0.0,0,0
Odisha,2001,TVC- Arson,10. Arson,0.0,190,190
Punjab,2001,TVC- Arson,10. Arson,2.0,16,18
Tamil Nadu,2001,TVC- Arson,10. Arson,34.0,395,429
Tripura,2001,TVC- Arson,10. Arson,0.0,17,17
West Bengal,2001,TVC- Arson,10. Arson,0.0,40,40
Andaman & Nicobar Islands,2002,TVC- Arson,10. Arson,0.0,1,1
Andhra Pradesh,2002,TVC- Arson,10. Arson,0.0,499,499
Assam,2002,TVC- Arson,10. Arson,5.0,125,130
Bihar,2002,TVC- Arson,10. Arson,0.0,148,148
Chandigarh,2002,TVC- Arson,10. Arson,0.0,1,1
Chhattisgarh,2002,TVC- Arson,10. Arson,30.0,55,85
Daman & Diu,2002,TVC- Arson,10. Arson,0.0,0,0
Goa,2002,TVC- Arson,10. Arson,0.0,18,18
Gujarat,2002,TVC- Arson,10. Arson,0.0,207,207
Haryana,2002,TVC- Arson,10. Arson,0.0,168,168
Himachal Pradesh,2002,TVC- Arson,10. Arson,7.0,48,55
Jammu & Kashmir,2002,TVC- Arson,10. Arson,0.0,35,35
Karnataka,2002,TVC- Arson,10. Arson,0.0,137,137
Madhya Pradesh,2002,TVC- Arson,10. Arson,0.0,696,696
Maharashtra,2002,TVC- Arson,10. Arson,2.0,684,686
Meghalaya,2002,TVC- Arson,10. Arson,0.0,4,4
Mizoram,2002,TVC- Arson,10. Arson,4.0,7,11
Nagaland,2002,TVC- Arson,10. Arson,0.0,1,1
Odisha,2002,TVC- Arson,10. Arson,0.0,218,218
Punjab,2002,TVC- Arson,10. Arson,0.0,44,44
Tamil Nadu,2002,TVC- Arson,10. Arson,32.0,495,527
Uttar Pradesh,2002,TVC- Arson,10. Arson,1.0,550,551
Uttarakhand,2002,TVC- Arson,10. Arson,0.0,17,17
West Bengal,2002,TVC- Arson,10. Arson,0.0,63,63
Andaman & Nicobar Islands,2003,TVC- Arson,10. Arson,0.0,3,3
Andhra Pradesh,2003,TVC- Arson,10. Arson,0.0,484,484
Arunachal Pradesh,2003,TVC- Arson,10. Arson,0.0,1,1
Assam,2003,TVC- Arson,10. Arson,8.0,173,181
Bihar,2003,TVC- Arson,10. Arson,0.0,233,233
Chandigarh,2003,TVC- Arson,10. Arson,0.0,2,2
Chhattisgarh,2003,TVC- Arson,10. Arson,0.0,57,57
Daman & Diu,2003,TVC- Arson,10. Arson,0.0,0,0
Gujarat,2003,TVC- Arson,10. Arson,1.0,313,314
Haryana,2003,TVC- Arson,10. Arson,0.0,122,122
Himachal Pradesh,2003,TVC- Arson,10. Arson,6.0,46,52
Jammu & Kashmir,2003,TVC- Arson,10. Arson,0.0,17,17
Jharkhand,2003,TVC- Arson,10. Arson,0.0,104,104
Karnataka,2003,TVC- Arson,10. Arson,0.0,236,236
Kerala,2003,TVC- Arson,10. Arson,2.0,128,130
Maharashtra,2003,TVC- Arson,10. Arson,0.0,663,663
Meghalaya,2003,TVC- Arson,10. Arson,0.0,2,2
Mizoram,2003,TVC- Arson,10. Arson,8.0,4,12
Nagaland,2003,TVC- Arson,10. Arson,0.0,0,0
Odisha,2003,TVC- Arson,10. Arson,0.0,246,246
Punjab,2003,TVC- Arson,10. Arson,0.0,44,44
Tamil Nadu,2003,TVC- Arson,10. Arson,9.0,404,413
Uttarakhand,2003,TVC- Arson,10. Arson,0.0,10,10
West Bengal,2003,TVC- Arson,10. Arson,0.0,82,82
Andhra Pradesh,2004,TVC- Arson,10. Arson,0.0,542,542
Arunachal Pradesh,2004,TVC- Arson,10. Arson,0.0,1,1
Assam,2004,TVC- Arson,10. Arson,20.0,173,193
Bihar,2004,TVC- Arson,10. Arson,0.0,286,286
Chandigarh,2004,TVC- Arson,10. Arson,0.0,1,1
Chhattisgarh,2004,TVC- Arson,10. Arson,7.0,70,77
Gujarat,2004,TVC- Arson,10. Arson,1.0,288,289
Himachal Pradesh,2004,TVC- Arson,10. Arson,0.0,54,54
Karnataka,2004,TVC- Arson,10. Arson,0.0,186,186
Maharashtra,2004,TVC- Arson,10. Arson,0.0,593,593
Manipur,2004,TVC- Arson,10. Arson,0.0,0,0
Meghalaya,2004,TVC- Arson,10. Arson,0.0,4,4
Mizoram,2004,TVC- Arson,10. Arson,7.0,32,39
Nagaland,2004,TVC- Arson,10. Arson,1.0,4,5
Odisha,2004,TVC- Arson,10. Arson,0.0,294,294
Punjab,2004,TVC- Arson,10. Arson,6.0,34,40
Rajasthan,2004,TVC- Arson,10. Arson,0.0,407,407
Tamil Nadu,2004,TVC- Arson,10. Arson,25.0,413,438
Uttar Pradesh,2004,TVC- Arson,10. Arson,0.0,399,399
West Bengal,2004,TVC- Arson,10. Arson,2.0,53,55
Andhra Pradesh,2005,TVC- Arson,10. Arson,0.0,612,612
Arunachal Pradesh,2005,TVC- Arson,10. Arson,0.0,3,3
Assam,2005,TVC- Arson,10. Arson,2.0,209,211
Bihar,2005,TVC- Arson,10. Arson,0.0,258,258
Chandigarh,2005,TVC- Arson,10. Arson,0.0,1,1
Chhattisgarh,2005,TVC- Arson,10. Arson,50.0,83,133
Gujarat,2005,TVC- Arson,10. Arson,1.0,208,209
Haryana,2005,TVC- Arson,10. Arson,0.0,84,84
Himachal Pradesh,2005,TVC- Arson,10. Arson,0.0,81,81
Jammu & Kashmir,2005,TVC- Arson,10. Arson,0.0,42,42
Jharkhand,2005,TVC- Arson,10. Arson,0.0,84,84
Karnataka,2005,TVC- Arson,10. Arson,0.0,193,193
Maharashtra,2005,TVC- Arson,10. Arson,0.0,622,622
Manipur,2005,TVC- Arson,10. Arson,0.0,0,0
Meghalaya,2005,TVC- Arson,10. Arson,1.0,3,4
